,x,y,quartet
1,10,8.04,I
2,8,6.95,I
3,13,7.58,I
4,9,8.81,I
5,11,8.33,I
6,14,9.96,I
7,6,7.24,I
8,4,4.26,I
9,12,10.84,I
10,7,4.82,I
11,5,5.68,I
1,10,9.14,II
2,8,8.14,II
3,13,8.74,II
4,9,8.77,II
5,11,9.26,II
6,14,8.1,II
7,6,6.13,II
8,4,3.1,II
9,12,9.13,II
10,7,7.26,II
11,5,4.74,II
1,10,7.46,III
2,8,6.77,III
3,13,12.74,III
4,9,7.11,III
5,11,7.81,III
6,14,8.84,III
7,6,6.08,III
8,4,5.39,III
9,12,8.15,III
10,7,6.42,III
11,5,5.73,III
1,8,6.58,IV
2,8,5.76,IV
3,8,7.71,IV
4,8,8.84,IV
5,8,8.47,IV
6,8,7.04,IV
7,8,5.25,IV
8,19,12.5,IV
9,8,5.56,IV
10,8,7.91,IV
11,8,6.89,IV
