tv,sales
230.1,465.26
44.5,218.95
17.2,195.79
151.5,389.47
180.8,271.58
8.7,151.58
57.5,248.42
120.2,277.89
8.6,101.05
199.8,223.16
66.1,181.05
214.7,366.32
23.8,193.68
97.5,204.21
204.1,400.0
195.4,471.58
67.8,263.16
281.4,513.68
69.2,237.89
147.3,307.37
218.4,378.95
237.4,263.16
13.2,117.89
228.3,326.32
62.3,204.21
262.9,252.63
142.9,315.79
240.1,334.74
248.8,397.89
70.6,221.05
292.9,450.53
112.9,250.53
97.2,202.11
265.6,366.32
95.7,200.0
290.7,269.47
266.9,534.74
74.7,309.47
43.1,212.63
228.0,452.63
202.5,349.47
177.0,360.0
293.6,435.79
206.9,271.58
25.1,178.95
175.1,313.68
89.7,223.16
239.9,488.42
227.2,311.58
66.9,204.21
199.8,240.0
100.4,225.26
216.4,475.79
182.6,446.32
262.7,425.26
198.9,498.95
7.3,115.79
136.2,277.89
210.8,501.05
210.7,387.37
53.5,170.53
261.3,509.47
239.3,330.53
102.7,294.74
131.1,378.95
69.0,195.79
31.5,200.0
139.3,282.11
237.4,397.89
216.8,469.47
199.1,385.26
109.8,261.05
26.8,185.26
129.4,231.58
213.4,357.89
16.9,183.16
27.5,145.26
120.5,298.95
5.4,111.58
116.0,231.58
76.4,248.42
239.8,258.95
75.3,237.89
68.4,286.32
213.5,456.84
193.2,320.0
76.3,252.63
110.7,336.84
88.3,271.58
109.8,351.58
134.3,235.79
28.6,153.68
217.7,408.42
250.9,467.37
107.4,242.11
163.3,355.79
197.6,246.32
184.9,326.32
289.7,534.74
135.2,362.11
222.4,246.32
296.4,501.05
280.2,311.58
187.9,309.47
238.2,435.79
137.9,404.21
25.0,151.58
90.4,183.16
13.1,111.58
255.4,416.84
225.8,282.11
241.7,458.95
175.7,296.84
209.6,334.74
78.2,307.37
75.1,265.26
139.2,256.84
76.4,197.89
125.7,334.74
19.4,138.95
141.3,326.32
18.8,147.37
224.0,244.21
123.1,320.0
229.5,414.74
87.2,223.16
7.8,138.95
80.2,185.26
220.3,520.0
59.6,204.21
0.7,33.68
265.2,267.37
8.4,120.0
219.8,412.63
36.9,227.37
48.3,244.21
25.6,200.0
273.7,437.89
43.0,202.11
184.9,435.79
73.4,229.47
193.7,404.21
220.5,423.16
104.6,218.95
96.2,240.0
140.3,216.84
240.1,277.89
243.2,534.74
38.0,229.47
44.7,212.63
280.7,338.95
121.0,244.21
197.6,349.47
171.3,400.0
187.8,328.42
4.1,67.37
93.9,322.11
149.8,212.63
11.7,153.68
131.7,271.58
172.5,303.16
85.7,280.0
188.4,313.68
163.5,378.95
117.2,250.53
234.5,250.53
17.9,168.42
206.8,256.84
215.4,360.0
284.3,315.79
50.0,176.84
164.5,305.26
19.6,160.0
168.4,246.32
222.4,242.11
276.9,568.42
248.4,425.26
170.2,246.32
276.7,248.42
165.6,265.26
156.6,221.05
218.5,256.84
56.2,183.16
287.6,551.58
253.8,370.53
205.0,475.79
139.5,216.84
191.1,364.21
286.0,334.74
18.7,141.05
39.5,227.37
75.5,208.42
17.2,124.21
166.8,412.63
149.7,364.21
38.2,160.0
94.2,204.21
177.0,269.47
283.6,536.84
232.1,282.11
