Ozone,Solar.R,Wind,Temp,Month,Day
41.0,190.0,7.4,53.3,5,1
36.0,118.0,8.0,89.1,5,2
12.0,149.0,12.6,42.7,5,3
18.0,313.0,11.5,53.9,5,4
28.0,,14.9,69.5,5,6
23.0,299.0,8.6,61.8,5,7
19.0,99.0,13.8,36.6,5,8
8.0,19.0,20.1,69.5,5,9
7.0,,6.9,79.3,5,11
16.0,256.0,9.7,71.4,5,12
11.0,290.0,9.2,58.2,5,13
14.0,274.0,10.9,75.7,5,14
18.0,65.0,13.2,69.8,5,15
14.0,334.0,11.5,72.1,5,16
34.0,307.0,12.0,82.2,5,17
6.0,78.0,18.4,72.3,5,18
30.0,322.0,11.5,72.0,5,19
11.0,44.0,9.7,62.8,5,20
1.0,8.0,9.7,64.6,5,21
11.0,320.0,16.6,72.2,5,22
4.0,25.0,9.7,53.1,5,23
32.0,92.0,12.0,86.9,5,24
23.0,13.0,12.0,65.7,5,28
45.0,252.0,14.9,106.9,5,29
115.0,223.0,5.7,84.0,5,30
37.0,279.0,7.4,98.4,5,31
29.0,127.0,9.7,67.2,6,7
71.0,291.0,13.8,90.2,6,9
39.0,323.0,11.5,69.0,6,10
23.0,148.0,8.0,95.2,6,13
21.0,191.0,14.9,82.8,6,16
37.0,284.0,20.7,83.4,6,17
20.0,37.0,9.2,69.8,6,18
12.0,120.0,11.5,63.6,6,19
13.0,137.0,10.3,91.4,6,20
135.0,269.0,4.1,100.9,7,1
49.0,248.0,9.2,102.5,7,2
32.0,236.0,9.2,108.3,7,3
64.0,175.0,4.6,67.8,7,5
40.0,314.0,10.9,69.7,7,6
77.0,276.0,5.1,52.2,7,7
97.0,267.0,6.3,116.9,7,8
97.0,272.0,5.7,137.9,7,9
85.0,175.0,7.4,98.0,7,10
10.0,264.0,14.3,66.8,7,12
27.0,175.0,14.9,110.9,7,13
7.0,48.0,14.3,87.5,7,15
48.0,260.0,6.9,84.4,7,16
35.0,274.0,10.3,97.3,7,17
61.0,285.0,6.3,92.6,7,18
79.0,187.0,5.1,105.3,7,19
63.0,220.0,11.5,112.3,7,20
16.0,7.0,6.9,51.1,7,21
80.0,294.0,8.6,128.6,7,24
108.0,223.0,8.0,74.5,7,25
20.0,81.0,8.6,80.2,7,26
52.0,82.0,12.0,75.5,7,27
82.0,213.0,7.4,69.1,7,28
50.0,275.0,7.4,65.4,7,29
64.0,253.0,7.4,84.3,7,30
59.0,254.0,9.2,84.3,7,31
39.0,83.0,6.9,94.9,8,1
9.0,24.0,13.8,71.1,8,2
16.0,77.0,7.4,85.5,8,3
78.0,,6.9,68.7,8,4
35.0,,7.4,58.7,8,5
66.0,,4.6,71.0,8,6
122.0,255.0,4.0,80.2,8,7
89.0,229.0,10.3,88.8,8,8
110.0,207.0,8.0,64.7,8,9
44.0,192.0,11.5,78.5,8,12
28.0,273.0,11.5,102.6,8,13
65.0,157.0,9.7,78.1,8,14
22.0,71.0,10.3,108.7,8,16
59.0,51.0,6.3,91.7,8,17
23.0,115.0,7.4,90.9,8,18
31.0,244.0,10.9,94.2,8,19
44.0,190.0,10.3,82.8,8,20
21.0,259.0,15.5,83.0,8,21
9.0,36.0,14.3,92.4,8,22
45.0,212.0,9.7,74.6,8,24
168.0,238.0,3.4,70.1,8,25
73.0,215.0,8.0,73.9,8,26
76.0,203.0,9.7,107.2,8,28
118.0,225.0,2.3,102.1,8,29
84.0,237.0,6.3,121.5,8,30
85.0,188.0,6.3,102.1,8,31
96.0,167.0,6.9,93.3,9,1
78.0,197.0,5.1,118.4,9,2
73.0,183.0,2.8,123.9,9,3
91.0,189.0,4.6,85.0,9,4
47.0,95.0,7.4,81.5,9,5
32.0,92.0,15.5,84.3,9,6
20.0,252.0,10.9,81.9,9,7
23.0,220.0,10.3,100.1,9,8
21.0,230.0,10.9,74.1,9,9
24.0,259.0,9.7,81.0,9,10
44.0,236.0,14.9,96.0,9,11
21.0,259.0,15.5,94.6,9,12
28.0,238.0,6.3,67.1,9,13
9.0,24.0,10.9,78.2,9,14
13.0,112.0,11.5,105.3,9,15
46.0,237.0,6.9,65.5,9,16
18.0,224.0,13.8,47.3,9,17
13.0,27.0,10.3,74.2,9,18
24.0,238.0,10.3,89.6,9,19
16.0,201.0,8.0,73.5,9,20
13.0,238.0,12.6,84.3,9,21
23.0,14.0,9.2,77.0,9,22
36.0,139.0,10.3,103.5,9,23
7.0,49.0,10.3,111.2,9,24
14.0,20.0,16.6,69.5,9,25
30.0,193.0,6.9,75.3,9,26
14.0,191.0,14.3,86.4,9,28
18.0,131.0,8.0,80.7,9,29
20.0,223.0,11.5,62.9,9,30
